Proc. Licitatório;Proc. Administrativo;Modalidade;Exercício;N° Mod.;Situação;Data Abert. Propost.;Valor Previsto;Valor Total Licitação;Objeto;Data do Edital;Data Encerramento;Carona;Reg. Preço;Artigo/Inciso;Economia Absoluta;Economia Percentual
000030/22;30.0;DISPENSA;22;13;Homologada  ;21/03/2022;23458.0;21275.0;Contratação de empresa especializada no fornecimento de ovos de Páscoa, para atender as necessidades do Fundo Social de Solidariedade de Riolândia, co;03/03/2022;24/03/2022;;N;Art. 75, II, Lei 14.133/2021;2183.0;0.09305993690851735
000029/22;29.0;DISPENSA;22;12;Homologada  ;17/03/2022;15776.67;15400.0;Contratação de serviços de passeio com trenzinho, para atender e proporcionar alegria as crianças do Município de Riolândia/SP, conforme especificaçõe;25/02/2022;17/03/2022;;N;Art. 24, II, Lei 8666/93;376.6700000000001;0.023875127007156775
000028/22;28.0;INEXIGIBILIDADE;22;1;Homologada  ;17/03/2022;9750.0;9750.0;Contratação de orquestra de sopros e percussão para realização de apresentação artística para as festividades do Aniversário do Município de Riolândia;04/03/2022;17/03/2022;;N;Art. 25, III, Lei 8666/93;0.0;0.0
000027/22;27.0;DISPENSA;22;11;Homologada  ;17/03/2022;49576.67;49300.0;Contratação de empresa especializada em prestação de serviços de termonebulização (fumacê), conforme especificações técnicas e quantidades contidas no;07/03/2022;17/03/2022;;N;Art. 75, VIII, Lei 14.133/2021;276.66999999999825;0.005580649123872141
000026/22;26.0;DISPENSA;22;10;Homologada  ;16/03/2022;17066.67;16800.0;Aquisição de letreiro para a entrada da cidade, conforme especificações técnicas e quantidades contidas no Anexo I – Termo de Referência.;03/03/2022;16/03/2022;;N;Art. 24, II, Lei 8666/93;266.66999999999825;0.015625192260704537
000025/22;25.0;TOMADA DE PREÇOS;22;3;Homologada  ;01/04/2022;1098137.21;1092431.14;Contratação de empresa especializada em serviços de execução de infraestrutura (recapeamento asfáltico c.b.u.q.) na avenida de entrada da cidade, com ;09/03/2022;01/04/2022;;N;;5706.070000000065;0.005196135736079889
000024/22;24.0;CONVITE;22;3;Homologada  ;23/03/2022;119500.5;111750.0;Contratação de empresa para procedimentos relacionados à confecção de próteses dentárias removíveis para suprir as necessidades do Município de Riolân;07/03/2022;23/03/2022;;N;;7750.5;0.06485746921560998
000023/22;23.0;PREGÃO PRESENCIAL;22;9;Homologada  ;02/05/2022;541149.0;535707.5;Aquisição de kits de materiais escolares para distribuição aos alunos matriculados nas escolas municipais de Riolândia/SP, pelo período de 12 (doze) m;10/03/2022;02/05/2022;;N;;5441.5;0.0100554560758682
000022/22;22.0;DISPENSA;22;9;Homologada  ;08/03/2022;16372.44;15405.0;Aquisição de equipamentos odontológicos para atender a demanda do Centro Odontológico Municipal - COM do município de Riolândia, conforme descrições c;10/02/2022;08/03/2022;;N;Art. 24, II, Lei 8666/93;967.4400000000005;0.05908954315911376
000021/22;21.0;PREGÃO PRESENCIAL;22;8;Homologada  ;23/05/2022;382500.0;360000.0;Contratação de empresa especializada para operação e execução de serviços de manutenção preventiva e corretiva do sistema de iluminação pública e orna;02/03/2022;23/05/2022;;N;;22500.0;0.058823529411764705
000020/22;20.0;PREGÃO PRESENCIAL;22;7;Homologada  ;28/03/2022;1166116.97;683084.63;O Registro de Preços para a Aquisição de equipamentos e materiais de informática, destinados a diversos setores da Prefeitura Municipal de Riolândia, ;25/02/2022;28/03/2022;;S;;483032.33999999997;0.4142228888067721
000019/22;19.0;DISPENSA;22;8;Homologada  ;25/02/2022;22376.75;17500.0;Aquisição de 2 (dois) ares condicionados para atender as necessidades do setor de Transporte e Contabilidade do Município de Riolândia-SP, conforme es;16/01/2022;25/02/2022;;N;Art. 75, II, Lei 14.133/2021;4876.75;0.21793826181192533
000018/22;18.0;DISPENSA;22;7;Homologada  ;25/02/2022;12146.34;10909.15;Contratação de empresa especializada na prestação de serviços relacionados à adequação dos circuitos para o sistema predial da Escola Maria Aparecida ;07/02/2022;25/02/2022;;N;Art. 24, II, Lei 8666/93;1237.1900000000005;0.10185702030405872
000017/22;17.0;PREGÃO PRESENCIAL;22;6;Homologada  ;11/03/2022;238710.0;195600.0;O registro de preços para a contratação de empresa especializada em serviços de solda e torno preventiva e corretiva em veículos, maquinários e mobili;16/02/2022;11/03/2022;;S;;43110.0;0.18059570189770013
000016/22;16.0;DISPENSA;22;6;Homologada  ;17/02/2022;18483.6;17570.0;Aquisição de cadeiras de rodas, para atender as necessidades das Unidades Básicas de Saúde do Município de Riolândia/SP, com entrega imediata, conform;01/02/2022;17/02/2022;;N;Art. 24, II, Lei 8666/93;913.5999999999985;0.04942760068384939
000015/22;15.0;DISPENSA;22;5;Homologada  ;17/02/2022;19053.35;17500.0;Contratação de empresa especializada no fornecimento de cortinas, para atender as necessidades da Creche Antônio Gonçalves e EMEB Ruy Malachias do Mun;27/12/2021;17/02/2022;;N;Art. 24, II, Lei 8666/93;1553.3499999999985;0.08152634576071917
000014/22;14.0;CONVITE;22;2;Homologada  ;03/03/2022;36659.1;33984.5;Contratação de empresa especializada no fornecimento de peças/acessórios e prestação de serviços de mão de obra, para reforma do Micro Ônibus (placa D;10/02/2022;03/03/2022;;N;;2674.5999999999985;0.07295869238470117
000013/22;13.0;DISPENSA;22;4;Homologada  ;10/02/2022;11045.0;9796.0;Contratação de empresa especializada no fornecimento de peças/acessórios e prestação de serviços de mão de obra, para manutenção especifica do câmbio ;05/01/2022;10/02/2022;;N;Art. 24, II, Lei 8666/93;1249.0;0.11308284291534632
000011/22;11.0;PREGÃO PRESENCIAL;22;5;Homologada  ;18/02/2022;5266069.0;4602627.0;O Registro de preço para aquisição de gêneros alimentícios perecíveis para atendimento às necessidades do serviço de merenda escolar da Rede Municipal;01/02/2022;18/02/2022;;S;;663442.0;0.1259842968255828
000010/22;10.0;DISPENSA;22;3;Homologada  ;01/02/2022;13026.67;11000.0;Aquisição de mesas e bancos de pedra de ardósia, para atender a necessidade da Creche Municipal de Riolândia/SP, com entrega imediata, conforme descri;10/01/2022;01/02/2022;;N;Art. 24, II, Lei 8666/93;2026.67;0.1555785169962853
000009/22;9.0;PREGÃO PRESENCIAL;22;4;Homologada  ;15/02/2022;616023.67;580000.0;Aquisição de 01 (um) Caminhão Pipa, para atender a demanda do Setor do Meio Ambiente da Prefeitura Municipal de Riolândia/SP, conforme especificações ;31/01/2022;15/02/2022;;N;;36023.67000000004;0.05847773674021331
000008/22;8.0;PREGÃO PRESENCIAL;22;3;Homologada  ;23/02/2022;146647.8;118665.0;O registro de preço para aquisição de madeiras, para atender a demanda da Prefeitura Municipal de Riolândia, com entrega parcelada pelo período de 12 ;10/02/2022;23/02/2022;;S;;27982.79999999999;0.1908163641050189
000007/22;7.0;PREGÃO PRESENCIAL;22;2;Homologada  ;08/02/2022;233895.0;154500.0;Registro de Preço para aquisição de massa asfáltica fria e usinada a quente, para uso do Departamento de Obras e Serviços Municipais da Prefeitura Mun;24/01/2022;08/02/2022;;S;;79395.0;0.3394471878406978
000006/22;6.0;TOMADA DE PREÇOS;22;2;Homologada  ;16/02/2022;744926.28;744000.0;CONTRATAÇÃO DE EMPRESA PARA REVITALIZAÇÃO DA PRAIA ARTIFICIAL DO MUNICIPIO DE RIOLANDIA/SP (FASE III), COM FORNECIMENTO DE MÃO DE OBRA, MATERIAL E EQU;21/01/2022;22/03/2022;;N;;926.2800000000279;0.0012434519023815725
000005/22;5.0;DISPENSA;22;2;Homologada  ;21/01/2022;1800.0;1350.0;aluguel social pelo período de 3 (três) meses;17/01/2022;21/01/2022;;N;Art. 24, X, Lei 8666/93;450.0;0.25
000004/22;4.0;PREGÃO PRESENCIAL;22;1;Homologada  ;03/02/2022;248381.67;232700.0;Aquisição de 02 (dois) veículos 0 Km, para atender as necessidades do Setor de Saúde e do Gabinete da Prefeitura Municipal de Riolândia/SP, conforme e;20/01/2022;03/02/2022;;N;;15681.670000000013;0.0631353754888596
000003/22;3.0;TOMADA DE PREÇOS;22;1;Homologada  ;14/02/2022;1046548.05;1040000.0;CONTRATAÇÃO DE EMPRESA COM FORNECIMENTO DE MÃO DE OBRA, MATERIAL E EQUIPAMENTOS PARA CONSTRUÇÃO DO ESPAÇO DA SAUDE, NESTE MUNICIPIO DE RIOLANDIA/SP.;19/01/2022;16/03/2022;;N;;6548.050000000047;0.006256807797788211
000002/22;2.0;CONVITE;22;1;Homologada  ;26/01/2022;77400.0;63600.0;CONTRATAÇÃO DE EMPRESA VISANDO A EXECUÇÃO DE SERVIÇOS TÉCNICOS PROFISSIONAIS ESPECIALIZADOS EM ADMINISTRAÇÃO PÚBLICA, EM FAVOR DO ÓRGÃO CONTRATANTE, N;14/01/2022;26/01/2022;;N;;13800.0;0.17829457364341086
000001/22;1.0;DISPENSA;22;1;Homologada  ;14/01/2022;35520.0;35520.0;contratação de empresa especializada no desenvolvimento de atividades para promoção de integração ao mercado de trabalho, de acordo com a Constituição;03/01/2022;14/01/2022;;N;Art. 24, XIII, Lei 8666/93;0.0;0.0
000118/23;118.0;DISPENSA;23;46;Homologada  ;27/12/2023;15966.67;15100.0;Contratação de empresa especializada em locação de banheiros químicos, incluso instalação e retirada, para atender as festividades da tradicional fest;13/12/2023;27/12/2023;;N;Art. 24, II, Lei 8666/93;866.6700000000001;0.054279946914416094
000117/23;117.0;TOMADA DE PREÇOS;23;3;Em Andamento;15/01/2024;622915.31;0.0;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA EXECUÇÃO DE OBRAS DE MICRODRENAGEM, PARA ATENDER AS NECESSIDADES DO MUNICÍPIO DE RIOLÂNDIA/SP, COM FORNECIMENT;26/12/2023;;;N;;622915.31;1.0
000116/23;116.0;PREGÃO PRESENCIAL;23;48;Classificada;11/01/2024;716620.8;0.0;Registro de Preço para aquisição futura e parcelada de leites especiais e suplementos alimentares, tendo em vista crianças e adultos com diversos prob;22/12/2023;;;S;;716620.8;1.0
000115/23;115.0;DISPENSA;23;45;Homologada  ;20/12/2023;35520.0;35520.0;Contratação de empresa especializada no desenvolvimento de atividades para promoção da integração ao mercado de trabalho, de acordo com a Constituição;01/12/2023;20/12/2023;;N;Art. 24, XIII, Lei 8666/93;0.0;0.0
000114/23;114.0;DISPENSA;23;44;Homologada  ;15/12/2023;47513.0;45000.0;Aquisição de camas empilháveis infantis, com entrega imediata, para atender a demanda das Creches do Município de Riolândia-SP, conforme descrições co;06/12/2023;15/12/2023;;N;Art. 75, II, Lei 14.133/2021;2513.0;0.05289078778439585
000113/23;113.0;DISPENSA;23;43;Homologada  ;18/12/2023;17666.67;17000.0;Contratação de profissional artístico (dee jay) para apresentação nas festividades da tradicional festa de Ano Novo do Município de Riolândia-SP, que ;01/12/2023;18/12/2023;;N;Art. 24, II, Lei 8666/93;666.6699999999983;0.037736030615843186
000112/23;112.0;DISPENSA;23;42;Homologada  ;08/12/2023;21246.67;19550.0;Aquisição de mesas e bancos de ardósia, incluso correta instalação, para atender as necessidades da EMEB Professora Maria Aparecida dos Santos Franco ;28/11/2023;08/12/2023;;N;Art. 75, II, Lei 14.133/2021;1696.6699999999983;0.07985580799249946
000111/23;111.0;DISPENSA;23;41;Homologada  ;08/12/2023;16716.67;15900.0;Contratação de empresa especializada no fornecimento de estrutura técnica e operacional, visando a realização da tradicional festa de Ano Novo do Muni;29/11/2023;08/12/2023;;N;Art. 24, II, Lei 8666/93;816.6699999999983;0.04885362934125028
000110/23;110.0;PREGÃO PRESENCIAL;23;46;Homologada  ;19/12/2023;261429.99;241440.0;Aquisição de 3 (três) veículos 0 Km, para atender as necessidades do Setor de Saúde da Prefeitura Municipal de Riolândia-SP, com entrega imediata, con;05/12/2023;19/12/2023;;N;;19989.98999999999;0.0764640277115873
000109/23;109.0;INEXIGIBILIDADE;23;11;Homologada  ;05/12/2023;74100.0;74100.0;Contratação de profissional do setor artístico para realização de show para as festividades da tradicional festa de Ano Novo do Município de Riolândia;21/11/2023;05/12/2023;;N;Art. 25, III, Lei 8666/93;0.0;0.0
000108/23;108.0;INEXIGIBILIDADE;23;10;Homologada  ;05/12/2023;50000.0;50000.0;Contratação de profissional do setor artístico para realização de show para as festividades da tradicional festa de Ano Novo do Município de Riolândia;21/11/2023;05/12/2023;;N;Art. 25, III, Lei 8666/93;0.0;0.0
000107/23;107.0;DISPENSA;23;40;Homologada  ;05/12/2023;16430.0;15980.0;Aquisição de massa asfáltica usinada a quente para aplicação a frio, para uso do Departamento de Obras e Serviços Municipais da Prefeitura Municipal d;27/11/2023;05/12/2023;;N;Art. 75, II, Lei 14.133/2021;450.0;0.027388922702373707
000106/23;106.0;PREGÃO PRESENCIAL;23;45;Homologada  ;15/12/2023;1443738.5;1299030.0;Registro de Preço para eventuais aquisições de kits de materiais escolares, visando a distribuição aos alunos matriculados nas escolas municipais de R;23/11/2023;15/12/2023;;S;;144708.5;0.10023179405411714
000105/23;105.0;PREGÃO PRESENCIAL;23;47;Classificada;08/01/2024;702829.32;0.0;Registro de Preço para eventuais aquisições de diversos tipos de materiais e medicamentos odontológicos, para atender a atenção básica a saúde bucal d;18/12/2023;;;S;;702829.32;1.0
000104/23;104.0;PREGÃO PRESENCIAL;23;44;Homologada  ;12/12/2023;245361.11;158150.0;Registro de preços para eventuais aquisições de ares-condicionados, para suprir as necessidades de diversos setores da Prefeitura municipal de Riolând;28/11/2023;12/12/2023;;S;;87211.10999999999;0.3554398249991614
000103/23;103.0;PREGÃO PRESENCIAL;23;43;Homologada  ;11/12/2023;131064.72;115200.0;Contratação de empresa especializada em Engenharia de Segurança e Medicina do Trabalho, para aplicação das Normas Regulamentadoras do Ministério do Tr;22/11/2023;11/12/2023;;N;;15864.720000000001;0.12104493108442914
000102/23;102.0;DISPENSA;23;39;Homologada  ;24/11/2023;69313.18;66528.0;Contratação de empresa especializada em retífica de motor, visando o fornecimento de peças e mão de obra, para atender as necessidades de um caminhão ;30/10/2023;24/11/2023;;N;Art. 75, I, Lei 14.133/2021;2785.179999999993;0.04018254536871621
000101/23;101.0;PREGÃO PRESENCIAL;23;42;Homologada  ;06/12/2023;3088178.15;1857886.67;Registro de preço para eventuais aquisições de diversos tipos de materiais para construção, visando atender a demanda de diversos setores da Prefeitur;21/11/2023;06/12/2023;;S;;1230291.48;0.3983874699715753
000100/23;100.0;PREGÃO ELETRÔNICO (PORTAL DE COMPRAS);23;41;Homologada  ;04/12/2023;785959.2;722630.0;Registro de Preço para aquisição de uniformes escolares, para distribuição aos alunos matriculados nas escolas municipais de Riolândia-SP, pelo períod;21/11/2023;04/12/2023;;S;;63329.19999999995;0.08057568382684491
000099/23;99.0;CONVITE;23;8;Homologada  ;28/11/2023;94878.0;92214.0;Contratação de empresa especializada em serviços de fornecimento de rede de fibra óptica e internet, para atender as necessidades de diversos setores ;14/11/2023;28/11/2023;;N;;2664.0;0.02807816353633087
000098/23;98.0;PREGÃO PRESENCIAL;23;40;Homologada  ;21/11/2023;357999.96;339600.0;Contratação, em regime de empreitada por preço global, de empresa especializada em serviços saúde, para atendimento na Penitenciária “João batista de ;27/10/2023;21/11/2023;;N;;18399.96000000002;0.05139654205547962
000097/23;97.0;DISPENSA;23;38;Homologada  ;01/11/2023;10700.0;9500.0;Contratação de empresa especializada, para elaboração de projeto de urbanismo de construção de praça temática no Município de Riolândia-SP, com aproxi;23/10/2023;01/11/2023;;N;Art. 24, I, Lei 8666/93;1200.0;0.11214953271028037
000096/23;96.0;DISPENSA;23;37;Homologada  ;27/10/2023;38299.97;34750.0;Aquisição de balcão, mesas e bancos de ardósia, incluso instalação, para atender as necessidades da EMEB Prefeito Ruy Malachias Ferreira e EMEI Profª ;18/10/2023;27/10/2023;;N;Art. 75, II, Lei 14.133/2021;3549.970000000001;0.09268858435137159
000095/23;95.0;PREGÃO PRESENCIAL;23;39;Homologada  ;10/11/2023;1060610.9;981506.0;Registro de Preço para eventuais aquisições de diversos tipos de materiais hospitalares, visando atender a demanda das Unidades Básicas de Saúde do Mu;25/10/2023;10/11/2023;;S;;79104.8999999999;0.07458427968258663
000094/23;94.0;DISPENSA;23;36;Homologada  ;24/10/2023;14793.34;14650.0;Aquisição de letreiro e placa em aço inox, para atender as necessidades da nova UBS “Marcos Ferreira de Souza” do Município de Riolândia/SP, conforme ;01/09/2023;24/10/2023;;N;Art. 24, II, Lei 8666/93;143.34000000000015;0.009689495408068776
000093/23;93.0;PREGÃO PRESENCIAL;23;38;Homologada  ;07/11/2023;647429.6;620120.0;Registro de Preço para eventuais aquisições de óleo lubrificante, graxa e fluído para freio, para a manutenção da frota de veículos, máquinas e equipa;20/10/2023;07/11/2023;;S;;27309.599999999977;0.04218157464533592
000092/23;92.0;DISPENSA;23;35;Homologada  ;20/10/2023;10900.0;9900.0;Contratação de empresa especializada, para elaboração de projeto de urbanismo de construção de praça temática no Município de Riolândia-SP, com aproxi;16/10/2023;20/10/2023;;N;Art. 24, I, Lei 8666/93;1000.0;0.09174311926605505
000091/23;91.0;PREGÃO PRESENCIAL;23;37;Homologada  ;01/11/2023;3952991.13;1761035.0;Registro de Preço para eventuais aquisições de materiais de expediente e papelaria, para atender a demanda de diversos setores da Prefeitura Municipal;16/10/2023;01/11/2023;;S;;2191956.13;0.5545057041400444
000090/23;90.0;DISPENSA;23;34;Homologada  ;02/10/2023;25198.9;21464.5;Aquisição de eletrodomésticos para distribuição aos contribuintes, através de sorteio a ser realizado pela Prefeitura Municipal de Riolândia, atendend;28/08/2023;02/10/2023;;N;Art. 75, II, Lei 14.133/2021;3734.4000000000015;0.14819694510474668
000089/23;89.0;PREGÃO PRESENCIAL;23;36;Homologada  ;16/10/2023;174090.6;81110.0;Registro de Preço para eventuais aquisições de madeiras, para atender a demanda da Prefeitura Municipal de Riolândia, com entrega parcelada pelo perío;25/09/2023;16/10/2023;;S;;92980.6;0.5340931675805587
000088/23;88.0;PREGÃO PRESENCIAL;23;35;Homologada  ;05/10/2023;565417.2;481595.0;Registro de Preços para aquisições de gêneros alimentícios não perecíveis, para atendimento às necessidades do serviço de merenda escolar da Rede Muni;20/09/2023;05/10/2023;;S;;83822.19999999995;0.14824840843186227
000087/23;87.0;PREGÃO PRESENCIAL;23;34;Homologada  ;03/10/2023;531960.0;420000.0;Registro de Preço de empresa especializada na realização de oficinas de atividades socioeducativas no âmbito dos programas da Assistência Social do mu;18/09/2023;03/10/2023;;S;;111960.0;0.21046695240243626
000086/23;86.0;DISPENSA;23;33;Homologada  ;12/09/2023;16500.0;16200.0;Contratação de empresa especializada no fornecimento de estrutura técnica e operacional e apresentação de DJ’s, visando a realização do tradicional ev;01/09/2023;12/09/2023;;N;Art. 24, II, Lei 8666/93;300.0;0.01818181818181818
000085/23;85.0;PREGÃO PRESENCIAL;23;33;Homologada  ;26/09/2023;306244.8;243900.0;Contratação de empresa para prestação de serviços de vigias e seguranças (não armados), para atender as necessidades da Praia Municipal de Riolândia -;11/09/2023;26/09/2023;;N;;62344.79999999999;0.2035783138195326
000084/23;84.0;PREGÃO PRESENCIAL;23;32;Homologada  ;22/09/2023;850100.57;599069.85;Registro de Preço para eventuais aquisições de alimentos perecíveis e não perecíveis, destinados a projetos e programas da Assistência Social do Munic;05/09/2023;22/09/2023;;S;;251030.71999999997;0.2952953201760587
000083/23;83.0;DISPENSA;23;32;Homologada  ;30/08/2023;50645.6;50497.6;Contratação de empresa especializada na prestação de serviços especializados em rede elétrica de baixa tensão, para realizar em diversos ambientes e p;24/07/2023;30/08/2023;;N;Art. 75, II, Lei 14.133/2021;148.0;0.0029222676797194622
000082/23;82.0;PREGÃO PRESENCIAL;23;31;Homologada  ;11/09/2023;3683522.11;1883398.48;Registro de preço para eventuais aquisições de materiais de higiene e limpeza, para atender a demanda de diversos setores da Prefeitura Municipal de R;21/08/2023;11/09/2023;;S;;1800123.63;0.48869630105192985
000081/23;81.0;DISPENSA;23;31;Homologada  ;14/08/2023;22200.0;19200.0;locação do imóvel residencial, situado na Rua 08, nº 668, Centro, no Município de Riolândia-SP, destinado ao funcionamento da “Casa Lar” de Riolândia-;03/08/2023;14/08/2023;;N;Art. 24, X, Lei 8666/93;3000.0;0.13513513513513514
000080/23;80.0;DISPENSA;23;30;Homologada  ;08/08/2023;18085.0;17025.84;Aquisição de diversos tipos de jogos, materiais esportivos e mobiliários, para atender as necessidades do Serviço de Convivência Criança e Adolescente;19/06/2023;08/08/2023;;N;Art. 24, II, Lei 8666/93;1059.1599999999999;0.05856566215095382
000079/23;79.0;DISPENSA;23;29;Homologada  ;09/08/2023;20680.5;19646.0;Contratação de empresa especializada em construção e reconstrução de cercas provisórias, incluso ajudante de carpinteiro com encargos complementares, ;18/07/2023;09/08/2023;;N;Art. 75, II, Lei 14.133/2021;1034.5;0.05002296849689321
000078/23;78.0;PREGÃO PRESENCIAL;23;30;Homologada  ;23/08/2023;6169000.0;6125817.0;Registro de preço para a aquisição de combustíveis para abastecimento direto da frota municipal, através de postos de serviços, pelo período 12 (doze);09/08/2023;23/08/2023;;S;;43183.0;0.007
000077/23;77.0;PREGÃO PRESENCIAL;23;29;Homologada  ;17/08/2023;575969.81;505723.8;Registro de Preço de empresa especializada no fornecimento de peças e acessórios e na prestação de serviços de auto elétrica, para manutenção preventi;26/07/2023;17/08/2023;;S;;70246.01000000007;0.12196127085202618
000076/23;76.0;DISPENSA;23;28;Homologada  ;01/08/2023;35231.22;32995.68;Contratação de empresa especializada em execução de pavimentação / serviços de “tapa buraco”, incluindo limpeza, preparo da base, compactação, equipam;03/07/2023;01/08/2023;;N;Art. 24, I, Lei 8666/93;2235.540000000001;0.06345338026897737
000075/23;75.0;PREGÃO PRESENCIAL;23;28;Homologada  ;15/08/2023;720831.2;648300.0;Registro de Preço para fornecimento de Oxigênio Medicinal em sistema de comodato dos cilindros, para atender os pacientes da Rede Básica de Saúde do M;31/07/2023;15/08/2023;;S;;72531.19999999995;0.10062161571252737
000074/23;74.0;DISPENSA;23;27;Homologada  ;19/07/2023;15910.58;15430.0;Aquisição de cadeiras giratórias, para atender as necessidades do Setor Administrativo da Prefeitura Municipal de Riolândia-SP, conforme especificaçõe;19/06/2023;19/07/2023;;N;Art. 24, II, Lei 8666/93;480.5799999999999;0.030205058520808164
000073/23;73.0;DISPENSA;23;26;Homologada  ;17/07/2023;21333.0;17493.06;Aquisição de massa asfáltica usinada a quente para aplicação a frio, para uso do Departamento de Obras e Serviços Municipais da Prefeitura Municipal d;29/06/2023;17/07/2023;;N;Art. 24, II, Lei 8666/93;3839.9399999999987;0.17999999999999994
000072/23;72.0;TOMADA DE PREÇOS;23;2;Homologada  ;01/08/2023;332537.81;279956.87;contratação de empresa especializada em obras, para construção de duas praças no Município de Riolândia/SP, com fornecimento de mão de obra, material ;07/07/2023;01/08/2023;;N;;52580.94;0.1581201848896521
000071/23;71.0;DISPENSA;23;25;Homologada  ;12/07/2023;38996.67;35000.0;Contratação de empresa especializada em fornecimento de estrutura técnica e operacional, para realização do tradicional evento de “Festa do Peão” do M;04/07/2023;12/07/2023;;N;Art. 75, II, Lei 14.133/2021;3996.6699999999983;0.1024874688018233
000070/23;70.0;PREGÃO PRESENCIAL;23;27;Homologada  ;24/07/2023;97308.46;97288.0;Registro de Preço para eventuais aquisições de rações caninas, para atender a demanda do Canil Municipal de Riolândia/SP, com entrega parcelada pelo p;04/07/2023;24/07/2023;;S;;20.460000000006403;0.00021025921076139116
000068/23;68.0;PREGÃO PRESENCIAL;23;26;Homologada  ;18/07/2023;313695.0;285000.0;Registro de Preço para eventuais aquisições de cestas básicas de alimentos, para suprir a demanda do Fundo Municipal de Assistência e Promoção Social ;26/06/2023;18/07/2023;;S;;28695.0;0.09147420264906996
000067/23;67.0;DISPENSA;23;24;Homologada  ;30/06/2023;16706.64;14940.0;Contratação de empresa especializada em fornecimento de quadro, vidro e borracha de janela, incluso correta instalação, para realizar reforma das jane;19/05/2023;30/06/2023;;N;Art. 24, II, Lei 8666/93;1766.6399999999994;0.10574478171553343
000066/23;66.0;PREGÃO PRESENCIAL;23;25;Homologada  ;11/07/2023;458930.0;333820.0;Registro de preço de empresa especializada no fornecimento de produtos de panificação, para suprir as necessidades dos diversos setores da Prefeitura ;23/06/2023;11/07/2023;;S;;125110.0;0.2726123809731332
000065/23;65.0;PREGÃO PRESENCIAL;23;24;Homologada  ;06/07/2023;418280.09;171057.65;Aquisição de equipamentos, mobiliários e eletrodomésticos, para suprir as necessidades do Ponto de Apoio para Atendimento à Saúde do Município de Riol;20/06/2023;06/07/2023;;N;;247222.44000000003;0.5910452013147458
000064/23;64.0;DISPENSA;23;23;Homologada  ;21/06/2023;1455.0;1350.0;locação de imóvel para conceder aluguel social pelo período de 3 (três) meses.;14/06/2023;21/06/2023;;N;Art. 24, X, Lei 8666/93;105.0;0.07216494845360824
000063/23;63.0;INEXIGIBILIDADE;23;9;Homologada  ;21/06/2023;59437.5;40000.0;Contratação de profissional do setor artístico, para realização de show para as festividades da tradicional “Festa do Peão” do Município de Riolândia-;06/06/2023;21/06/2023;;N;Art. 25, III, Lei 8666/93;19437.5;0.3270241850683491
000062/23;62.0;INEXIGIBILIDADE;23;8;Homologada  ;21/06/2023;93000.0;75000.0;Contratação de profissional do setor artístico, para realização de show para as festividades da tradicional “Festa do Peão” do Município de Riolândia-;06/06/2023;21/06/2023;;N;Art. 25, III, Lei 8666/93;18000.0;0.1935483870967742
000061/23;61.0;PREGÃO PRESENCIAL;23;23;Homologada  ;04/07/2023;249203.06;233200.0;Registro de Preço de empresa especializada no fornecimento de toners, cartuchos e cilindros, para suprir as necessidades de diversos setores da Prefei;19/06/2023;04/07/2023;;S;;16003.059999999998;0.06421694821885413
000060/23;60.0;PREGÃO PRESENCIAL;23;22;Homologada  ;29/06/2023;4959147.24;1648026.7;Registro de preço para aquisições de medicamentos da Relação Municipal de Medicamentos Essenciais (REMUME), para atender as unidades básicas de saúde ;12/06/2023;29/06/2023;;S;;3311120.54;0.6676794173991898
000059/23;59.0;DISPENSA;23;22;Homologada  ;14/06/2023;49316.15;45378.5;  Aquisição de câmeras de monitoramento, incluída instalação das mesmas e do sistema de operação, para atender a demanda de diversos setores do Municí;04/05/2023;14/06/2023;;N;Art. 75, II, Lei 14.133/2021;3937.6500000000015;0.07984504062056753
000058/23;58.0;DISPENSA;23;21;Homologada  ;07/06/2023;10306.67;9980.0;Contratação em empresa especializada em serviços fotográficos aéreos, para realizar fotos do Município de Riolândia-SP, conforme especificações técnic;17/05/2023;07/06/2023;;N;Art. 24, II, Lei 8666/93;326.6700000000001;0.03169500915426613
000057/23;57.0;CONVITE;23;7;Homologada  ;15/06/2023;118806.87;113580.0;Contratação de empresa especializada em fornecimento de estrutura técnica e operacional e serviços de seguranças não armados, para realização do tradi;30/05/2023;15/06/2023;;N;;5226.869999999995;0.043994678085534915
000056/23;56.0;PREGÃO PRESENCIAL;23;21;Homologada  ;16/06/2023;1823432.6;947311.98;Registro de preços para a aquisição de pneus novos, para suprir as necessidades de manutenção da frota dos diversos setores da Prefeitura Municipal de;25/05/2023;16/06/2023;;S;;876120.6200000001;0.4804787519977432
000055/23;55.0;PREGÃO PRESENCIAL;23;20;Homologada  ;05/06/2023;307599.96;132492.0;Contratação de empresa especializada em serviço de coleta regular de resíduos sólidos urbanos, para atender a demanda do Município de Riolândia, pelo ;22/05/2023;05/06/2023;;N;;175107.96000000002;0.5692717255229812
000054/23;54.0;PREGÃO PRESENCIAL;23;19;Homologada  ;01/06/2023;349300.0;309800.0;Aquisição de laticínios para atendimento às necessidades do serviço de Merenda Escolar da Rede Municipal de Ensino e programas vinculados à Assistênci;17/05/2023;01/06/2023;;N;;39500.0;0.11308330947609505
