Proc. Licitatório;Proc. Administrativo;Modalidade;Exercício;N° Mod.;Situação;Data Abert. Propost.;Hora Abert. Propost.;Valor Previsto;Valor Total Licitação;Objeto;Data do Edital;Data Encerramento;Carona;Reg. Preço;Prazo de Entrega/Início;Artigo/Inciso;Data Inicio Proposta;Data Fim Proposta
000075/22;075;PREGÃO PRESENCIAL;22;25;Homologada  ;05/07/2022;09:00;241.809,99;224.700,00;Aquisição de 03 (três) veículos 0 Km, para atender as necessidades do Setor de Saúde e do Setor Administrativo da Prefeitura Municipal de Riolândia/SP;15/06/2022;05/07/2022;;N;;;;
000074/22;074;CONVITE;22;13;Homologada  ;29/06/2022;09:30;266.200,36;264.599,99;Contratação de empresa especializada na prestação de serviços de execução de acessibilidade em calçadas das áreas centrais e de unidades de saúde do M;20/06/2022;29/06/2022;;N;;;;
000073/22;073;PREGÃO PRESENCIAL;22;24;Homologada  ;04/07/2022;08:30;177.412,99;176.011,00;Registro de preços de empresa especializada no fornecimento de toners e cartuchos, para suprir as necessidades de diversos setores da Prefeitura Munic;15/06/2022;04/07/2022;;S;11/07/2023;;;
000072/22;072;DISPENSA;22;25;Homologada  ;20/06/2022;08:30;7.933,33;6.800,00;Contratação de empresa especializada na prestação de serviços de planejamento e execução de Processo Seletivo Simplificado no município de Riolândia, ;01/06/2022;20/06/2022;;N;;Art. 24, II, Lei 8666/93;;
000071/22;071;DISPENSA;22;24;Homologada  ;10/06/2022;09:00;7.891,20;7.704,00;Aquisição de tela de arame galvanizado fio nº 12 BWG, malha de 2’ (alambrado), para atender as necessidades do Canil Municipal do Município de Riolând;02/06/2022;10/06/2022;;N;;Art. 24, II, Lei 8666/93;;
000070/22;070;PREGÃO PRESENCIAL;22;23;Homologada  ;30/06/2022;08:30;78.876,04;75.338,00;Aquisição de ração canina para atender a demanda do canil municipal de Riolândia/SP, com entrega parcelada pelo período de 12 (doze) meses, conforme e;10/06/2022;30/06/2022;;N;;;;
000069/22;069;CONVITE;22;12;Homologada  ;24/06/2022;09:30;75.968,08;69.717,00;Contratação de empresa especializada no fornecimento de peças/acessórios e mão de obra, para manutenção de Micro-Ônibus e Caminhão pertencentes ao Set;07/06/2022;24/06/2022;;N;;;;
000068/22;068;PREGÃO ELETRÔNICO;22;22;Homologada  ;28/06/2022;08:30;193.338,60;146.049,00;Aquisição de materiais hospitalares para atender a demanda das Unidades Básicas de Saúde e Programas do Município de Riolândia/SP, em razão da pandemi;07/06/2022;28/06/2022;;N;;;;
000067/22;067;PREGÃO PRESENCIAL;22;21;Homologada  ;23/06/2022;08:30;236.854,00;213.408,00;O registro de preços para a contratação de empresa especializada no fornecimento de produtos de panificação, para suprir as necessidades dos diversos ;27/05/2022;23/06/2022;;S;01/07/2023;;;
000066/22;066;DISPENSA;22;23;Homologada  ;03/06/2022;09:00;13.960,00;13.550,00;Contratação de empresa especializada em fornecimento de motor novo completo, incluída instalação, para o Trator Murray Trapp 18.5 HP do setor do Espor;12/05/2022;03/06/2022;;N;;Art. 24, II, Lei 8666/93;;
000065/22;065;PREGÃO PRESENCIAL;22;20;Homologada  ;22/06/2022;08:30;4.184.194,18;1.523.465,39;O registro de preço para aquisição de materiais de higiene e limpeza para atender a demanda dos diversos setores da Prefeitura Municipal de Riolândia,;01/06/2022;22/06/2022;;S;04/07/2023;;;
000064/22;064;DISPENSA;22;22;Homologada  ;02/06/2022;09:00;10.865,00;10.865,00;Contratação de empresa especializada no fornecimento de assinatura de ferramenta de pesquisa e comparação de preços praticados pela Administração Públ;31/05/2022;02/06/2022;;N;;Art. 24, II, Lei 8666/93;;
000063/22;063;DISPENSA;22;21;Homologada  ;31/05/2022;09:00;15.399,96;14.400,00;Contratação de licença de uso de software de gerenciamento de controle de abastecimento de combustíveis para frota municipal, por meio de sistema info;18/05/2022;31/05/2022;;N;;Art. 24, II, Lei 8666/93;;
000062/22;062;CONVITE;22;11;Homologada  ;09/06/2022;14:30;124.136,67;123.070,00;Contratação de empresa especializada no fornecimento de estrutura técnica e operacional para realização dos shows do tradicional Juninão do Município ;30/05/2022;09/06/2022;;N;;;;
000061/22;061;DISPENSA;22;20;Homologada  ;27/05/2022;09:00;26.833,33;19.000,00;Contratação de empresa especializada em elaboração de projetos de engenharia, constando quantitativos de material, planilha orçamentária, memória de c;20/04/2022;27/05/2022;;N;;Art. 24, I, Lei 8666/93;;
000060/22;060;INEXIGIBILIDADE;22;4;Homologada  ;30/05/2022;09:00;70.000,00;70.000,00;Contratação de profissional do setor artístico para realização de show para as festividades do tradicional Juninão do Município de Riolândia-SP, que o;05/05/2022;30/05/2022;;N;;Art. 25, III, Lei 8666/93;;
000059/22;059;PREGÃO PRESENCIAL;22;19;Homologada  ;14/06/2022;08:00;2.392.604,06;1.689.021,89;O registro de preço para aquisição de materiais de construção, para atender a demanda dos diversos setores da Prefeitura Municipal de Riolândia/SP, co;23/05/2022;15/06/2022;;S;24/06/2023;;;
000058/22;058;PREGÃO PRESENCIAL;22;18;Homologada  ;09/06/2022;08:30;119.666,90;113.720,00;Contratação de empresa especializada na prestação de serviços de locação, incluída instalação e retirada, de tendas para atender as necessidades de di;19/05/2022;09/06/2022;;N;;;;
000057/22;057;CONVITE;22;10;Homologada  ;02/06/2022;09:30;91.399,44;84.000,00;Contratação de empresa especializada na prestação de serviços de assessoria de imprensa, comunicação institucional e de serviços editoriais, para prom;20/05/2022;02/06/2022;;N;;;;
000056/22;056;INEXIGIBILIDADE;22;3;Homologada  ;24/05/2022;09:00;15.000,00;15.000,00;Contratação de Banda Artística para realização de show para as festividades do tradicional Juninão do Município de Riolândia-SP, que ocorrerá na Praça;02/05/2022;24/05/2022;;N;;Art. 25, III, Lei 8666/93;;
000054/22;054;CONVITE;22;9;Homologada  ;01/06/2022;09:30;71.510,97;69.365,85;Contratação de empresa especializada na prestação de serviços especializados em rede elétrica de baixa tensão, para realizar em diversos ambientes e p;16/05/2022;01/06/2022;;N;;;;
000053/22;053;PREGÃO PRESENCIAL;22;17;Homologada  ;03/06/2022;08:30;256.462,50;187.000,00;Aquisição de cestas básicas de alimentos para atender a demanda do Fundo Municipal de Assistência e Promoção Social da Prefeitura Municipal de Riolând;11/05/2022;03/06/2022;;N;;;;
000050/22;050;INEXIGIBILIDADE;22;2;Homologada  ;13/05/2022;09:00;80.000,00;80.000,00;Contratação de profissional do setor artístico para realização de show para as festividades do tradicional Juninão do Município de Riolândia-SP, que o;06/04/2022;13/05/2022;;N;;Art. 25, III, Lei 8666/93;;
000049/22;049;PREGÃO PRESENCIAL;22;16;Homologada  ;31/05/2022;08:30;5.129.032,10;1.679.591,80;O registro de preço para aquisição de medicamentos da Relação Municipal de Medicamentos Essenciais (REMUME), para atender a demanda das unidades básic;12/05/2022;31/05/2022;;S;07/06/2023;;;
000048/22;048;CONVITE;22;8;Homologada  ;26/05/2022;09:30;105.920,00;77.438,00;Contratação de empresa especializada na prestação de serviços especializados de pintura, para realizar no Ginásio de Esportes, Praça do C.E.O., Praça ;11/05/2022;26/05/2022;;N;;;;
000047/22;047;DISPENSA;22;19;Homologada  ;16/05/2022;09:00;13.000,00;12.200,00;Contratação de empresa especializada no fornecimento de madeiras especificas para construção de palanque na Praça Nossa Senhora Aparecida do Município;29/04/2022;16/05/2022;;N;;Art. 24, II, Lei 8666/93;;
000046/22;046;DISPENSA;22;18;Homologada  ;13/05/2022;09:00;22.831,28;21.935,57;Aquisição de estrutura metálica (parafuso, chapa, barra chata, cantoneira, bobina galvalume e barra chata) para instalação e manutenção da cobertura d;01/04/2022;13/05/2022;;N;;Art. 75, II, Lei 14.133/2021;;
000045/22;045;DISPENSA;22;17;Homologada  ;12/05/2022;09:00;29.055,14;22.381,60;Aquisição de diversas tintas especiais e materiais para aplicação dessas, para revitalização das quadras esportivas do Município de Riolândia-SP, na f;06/04/2022;12/05/2022;;N;;Art. 75, II, Lei 14.133/2021;;
000044/22;044;CONVITE;22;7;Homologada  ;20/05/2022;09:30;56.810,52;56.192,07;Contratação de empresa especializada em fornecimento e instalação de paredes de gesso, estruturas de alumínio, espelhos, portas sanfonadas/alumínio/vi;02/05/2022;20/05/2022;;N;;;;
000043/22;043;PREGÃO ELETRÔNICO;22;15;Homologada  ;24/05/2022;08:30;102.179,86;74.147,00;Aquisição de móveis, eletrodomésticos, equipamentos e utensílios, para implantação do Projeto “Cozinhalimento” no município de Riolândia/SP, conforme ;02/05/2022;24/05/2022;;N;;;;
000042/22;042;PREGÃO ELETRÔNICO;22;14;Homologada  ;18/05/2022;08:30;225.403,30;38.055,00;Aquisição de materiais hospitalares para atender a demanda das Unidades Básicas de Saúde e Programas do município de Riolândia, em razão da pandemia p;29/04/2022;18/05/2022;;N;;;;
000041/22;041;PREGÃO PRESENCIAL;22;13;Homologada  ;16/05/2022;08:30;222.194,00;202.370,00;Aquisição de laticínios para atendimento às necessidades do serviço de Merenda Escolar da Rede Municipal de Ensino e programas vinculados à Assistênci;27/04/2022;16/05/2022;;N;;;;
000040/22;040;PREGÃO PRESENCIAL;22;12;Homologada  ;11/05/2022;09:00;1.800.000,00;1.800.000,00;Aquisição de medicamentos não contidos na Relação Municipal de Medicamentos Essenciais (REMUME), objetivando o maior percentual de desconto sobre a ta;25/04/2022;11/05/2022;;S;18/05/2023;;;
000039/22;039;CONVITE;22;6;Homologada  ;03/05/2022;09:30;128.825,03;118.255,80;Contratação de empresa especializada na realização de recuperação, manutenção e funilaria, incluindo fornecimento de peças/acessórios e mão de obra, p;13/04/2022;03/05/2022;;N;;;;
